Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,Life_expect_ male,Life_expect_female
Afghanistan,AFG,2019,38042000,,63.382,66.388
Africa,,2019,1308064000,,61.383,64.978
Albania,ALB,2019,2881000,,77.002,80.201
Algeria,DZA,2019,43053000,,75.676,78.133
American Samoa,ASM,2019,55000,,,
Andorra,AND,2019,77000,,,
Angola,AGO,2019,31825000,,58.416,64.039
Anguilla,AIA,2019,15000,,,
Antigua and Barbuda,ATG,2019,97000,,75.858,78.104
Argentina,ARG,2019,44781000,,73.242,79.995
Armenia,ARM,2019,2958000,,71.327,78.516
Aruba,ABW,2019,106000,,73.768,78.641
Asia,,2019,4601371136,,71.503,75.82
"Asia, Central",,2019,,,68.789,74.978
Australia,AUS,2019,25203000,,81.492,85.403
Australia & New Zealand,,2019,,,81.34,85.165
Austria,AUT,2019,8955000,,79.169,83.866
Azerbaijan,AZE,2019,10048000,,70.511,75.455
Bahamas,BHS,2019,389000,,71.659,76.081
Bahrain,BHR,2019,1641000,,76.436,78.423
Bangladesh,BGD,2019,163046000,,70.877,74.595
Barbados,BRB,2019,287000,,77.814,80.482
Belarus,BLR,2019,9452000,,69.652,79.572
Belgium,BEL,2019,11539000,,79.32,83.882
Belize,BLZ,2019,390000,,71.65,77.843
Benin,BEN,2019,11801000,,60.201,63.324
Bermuda,BMU,2019,63000,,,
Bhutan,BTN,2019,763000,,71.405,72.176
Bolivia,BOL,2019,11513000,,68.684,74.508
Bonaire Sint Eustatius and Saba,BES,2019,26000,,,
Bosnia and Herzegovina,BIH,2019,3301000,,74.893,79.857
Botswana,BWA,2019,2304000,,66.485,72.386
Brazil,BRA,2019,211050000,,72.243,79.555
British Virgin Islands,VGB,2019,30000,,,
Brunei,BRN,2019,433000,,74.728,77.106
Bulgaria,BGR,2019,7000000,,71.55,78.665
Burkina Faso,BFA,2019,20321000,,60.739,62.294
Burundi,BDI,2019,11531000,,59.764,63.377
Cambodia,KHM,2019,16487000,,67.538,71.909
Cameroon,CMR,2019,25876000,,58.029,60.561
Canada,CAN,2019,37411000,,80.447,84.391
Cape Verde,CPV,2019,550000,,69.526,76.197
Caribbean,,2019,,,70.226,75.359
Cayman Islands,CYM,2019,65000,,,
Central African Republic,CAF,2019,4745000,,51.081,55.514
Central America,,2019,,,72.126,77.954
Central and Southern Asia,,2019,,,68.516,71.295
Chad,TCD,2019,15947000,,52.835,55.669
Channel Islands,OWID_CIS,2019,172000,,81.173,84.915
Chile,CHL,2019,18952000,,77.771,82.442
China,CHN,2019,1433784064,,74.761,79.244
Colombia,COL,2019,50339000,,74.528,80.019
Comoros,COM,2019,851000,,62.587,66.121
Congo,COG,2019,5381000,,63.082,66.023
Cook Islands,COK,2019,18000,,,
Costa Rica,CRI,2019,5048000,,77.739,82.893
Cote d'Ivoire,CIV,2019,25717000,,56.593,59.119
Croatia,HRV,2019,4130000,,75.296,81.59
Cuba,CUB,2019,11333000,,76.84,80.779
Curacao,CUW,2019,163000,,75.775,81.63
Cyprus,CYP,2019,1199000,,78.921,83.032
Czech Republic,CZE,2019,10689000,,76.76,81.944
Democratic Republic of Congo,COD,2019,86791000,,59.147,62.233
Denmark,DNK,2019,5772000,,78.946,82.865
Djibouti,DJI,2019,974000,,65.116,69.357
Dominica,DMA,2019,72000,,,
Dominican Republic,DOM,2019,10739000,,70.991,77.381
Eastern Africa,,2019,,,62.679,66.847
Eastern Asia,,2019,,,75.617,80.596
Eastern Europe,,2019,,,69.293,78.622
Eastern and South-Eastern Asia,,2019,,,73.95,79.243
Ecuador,ECU,2019,17374000,,74.282,79.838
Egypt,EGY,2019,100388000,,69.742,74.35
El Salvador,SLV,2019,6454000,,68.455,77.842
Equatorial Guinea,GNQ,2019,1356000,,57.743,59.918
Eritrea,ERI,2019,3497000,,64.153,68.555
Estonia,EST,2019,1326000,,74.358,82.711
Ethiopia,ETH,2019,112079000,,64.694,68.536
Europe,,2019,747182976,,75.263,81.84
Europe and Northern America,,2019,,,75.68,81.739
"Europe, Western",,2019,,,79.469,84.367
Faeroe Islands,FRO,2019,49000,,,
Falkland Islands,FLK,2019,3000,,,
Fiji,FJI,2019,890000,,65.698,69.331
Finland,FIN,2019,5532000,,79.091,84.718
France,FRA,2019,65130000,,79.716,85.486
French Guiana,GUF,2019,291000,,77.013,83.064
French Polynesia,PYF,2019,279000,,75.612,79.898
Gabon,GAB,2019,2173000,,64.382,68.669
Gambia,GMB,2019,2348000,,60.656,63.481
Georgia,GEO,2019,3997000,,69.349,78.14
Germany,DEU,2019,83517000,,78.944,83.728
Ghana,GHA,2019,30418000,,62.991,65.177
Gibraltar,GIB,2019,34000,,,
Greece,GRC,2019,10473000,,79.803,84.672
Greenland,GRL,2019,57000,,,
Grenada,GRD,2019,112000,,70.073,74.953
Guadeloupe,GLP,2019,400000,,78.468,85.479
Guam,GUM,2019,167000,,76.828,83.55
Guatemala,GTM,2019,17581000,,71.382,77.151
Guinea,GIN,2019,12771000,,60.855,62.117
Guinea-Bissau,GNB,2019,1921000,,56.305,60.213
Guyana,GUY,2019,783000,,66.927,73.095
Haiti,HTI,2019,11263000,,61.831,66.182
High income countries,,2019,,,78.431,83.657
Honduras,HND,2019,9746000,,72.96,77.551
Hong Kong,HKG,2019,7436000,,81.971,87.747
Hungary,HUN,2019,9685000,,73.244,80.289
Iceland,ISL,2019,339000,,81.502,84.485
India,IND,2019,1366418048,,68.464,70.95
Indonesia,IDN,2019,270625984,,69.572,73.967
